resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,race_points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name,date,qualifying_position,best_qualifying_seconds,driverRef,forename,surname,driver_nationality,driver_name,constructor_name,constructor_nationality,circuit_name,circuit_country,lat,lng,alt,status,standing_points_after_race,standing_wins_after_race,standing_position_after_race,podium,top10,win,finished_clean,qualifying_delta_to_pole,grid_minus_qualifying,driver_prev_standing_position,driver_prev_season_points,driver_prev_season_wins,driver_avg_finish_last_5,driver_avg_grid_last_5,driver_avg_points_last_5,driver_podium_rate_last_10,driver_top10_rate_last_10,driver_finish_rate_last_10,constructor_avg_finish_last_5,constructor_avg_grid_last_5,constructor_avg_points_last_5,constructor_podium_rate_last_10,constructor_top10_rate_last_10,constructor_finish_rate_last_10,driver_constructor_pair_starts,driver_circuit_starts,constructor_circuit_starts
1,18,1,1,22.0,1,1.0,1,1,10.0,58,34:50.6,5690616.0,39.0,2.0,01:27.5,218.3,1,2008,1,1,Australian Grand Prix,2008-03-16,1.0,85.187,hamilton,Lewis,Hamilton,British,Lewis Hamilton,McLaren,British,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Finished,10.0,1.0,1.0,1,1,1,1,0.0,0.0,,0.0,0,,,,,,,,,,,,,0,0,0
2,18,2,2,3.0,5,2.0,2,2,8.0,58,5.478,5696094.0,41.0,3.0,01:27.7,217.586,1,2008,1,1,Australian Grand Prix,2008-03-16,5.0,85.518,heidfeld,Nick,Heidfeld,German,Nick Heidfeld,BMW Sauber,German,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Finished,8.0,0.0,2.0,1,1,0,1,0.33100000000000307,0.0,,0.0,0,,,,,,,,,,,,,0,0,0
3,18,3,3,7.0,7,3.0,3,3,6.0,58,8.163,5698779.0,41.0,5.0,01:28.1,216.719,1,2008,1,1,Australian Grand Prix,2008-03-16,7.0,86.059,rosberg,Nico,Rosberg,German,Nico Rosberg,Williams,British,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Finished,6.0,0.0,3.0,1,1,0,1,0.8719999999999999,0.0,,0.0,0,,,,,,,,,,,,,0,0,0
4,18,4,4,5.0,11,4.0,4,4,5.0,58,17.181,5707797.0,58.0,7.0,01:28.6,215.464,1,2008,1,1,Australian Grand Prix,2008-03-16,12.0,86.188,alonso,Fernando,Alonso,Spanish,Fernando Alonso,Renault,French,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Finished,5.0,0.0,4.0,0,1,0,1,1.0010000000000048,-1.0,,0.0,0,,,,,,,17.0,11.8,1.0,0.1,0.6,0.7,0,0,0
5,18,5,1,23.0,3,5.0,5,5,4.0,58,18.014,5708630.0,43.0,1.0,01:27.4,218.385,1,2008,1,1,Australian Grand Prix,2008-03-16,3.0,85.452,kovalainen,Heikki,Kovalainen,Finnish,Heikki Kovalainen,McLaren,British,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Finished,4.0,0.0,5.0,0,1,0,1,0.26500000000000057,0.0,,0.0,0,,,,,,,11.0,12.6,1.4,0.0,0.4,0.6,0,0,1
6,18,6,3,8.0,13,6.0,6,6,3.0,57,,,50.0,14.0,01:29.6,212.974,11,2008,1,1,Australian Grand Prix,2008-03-16,14.0,86.413,nakajima,Kazuki,Nakajima,Japanese,Kazuki Nakajima,Williams,British,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,+1 Lap,3.0,0.0,6.0,0,1,0,1,1.225999999999999,-1.0,,0.0,0,,,,,,,11.4,8.8,0.8,0.0,0.7,0.9,0,0,1
7,18,7,5,14.0,17,7.0,7,7,2.0,55,,,22.0,12.0,01:29.5,213.224,5,2008,1,1,Australian Grand Prix,2008-03-16,18.0,87.446,bourdais,SÌ©bastien,Bourdais,French,SÌ©bastien Bourdais,Toro Rosso,Italian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Engine,2.0,0.0,7.0,0,1,0,0,2.2590000000000003,-1.0,,0.0,0,,,,,,,,,,,,,0,0,0
8,18,8,6,1.0,15,8.0,8,8,1.0,53,,,20.0,4.0,01:27.9,217.18,5,2008,1,1,Australian Grand Prix,2008-03-16,16.0,86.14,raikkonen,Kimi,RÌ_ikkÌ¦nen,Finnish,Kimi RÌ_ikkÌ¦nen,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Engine,1.0,0.0,8.0,0,1,0,0,0.953000000000003,-1.0,,0.0,0,,,,,,,9.8,6.8,5.6,0.1,0.8,0.8,0,0,0
9,18,9,2,4.0,2,,R,9,0.0,47,,,15.0,9.0,01:28.8,215.1,4,2008,1,1,Australian Grand Prix,2008-03-16,2.0,85.315,kubica,Robert,Kubica,Polish,Robert Kubica,BMW Sauber,German,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Collision,,,,0,1,0,0,0.1280000000000001,0.0,,0.0,0,,,,,,,10.8,13.0,1.8,0.0,0.5,0.8,0,0,1
10,18,10,7,12.0,18,,R,10,0.0,43,,,23.0,13.0,01:29.6,213.166,3,2008,1,1,Australian Grand Prix,2008-03-16,9.0,86.164,glock,Timo,Glock,German,Timo Glock,Toyota,Japanese,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Accident,,,,0,1,0,0,0.9770000000000039,9.0,,0.0,0,,,,,,,,,,,,,0,0,0
11,18,11,8,18.0,19,,R,11,0.0,32,,,24.0,15.0,01:30.9,210.038,7,2008,1,1,Australian Grand Prix,2008-03-16,20.0,88.208,sato,Takuma,Sato,Japanese,Takuma Sato,Super Aguri,Japanese,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Transmission,,,,0,0,0,0,3.021000000000001,-1.0,,0.0,0,,,,,,,,,,,,,0,0,0
12,18,12,4,6.0,20,,R,12,0.0,30,,,20.0,16.0,01:31.4,208.907,8,2008,1,1,Australian Grand Prix,2008-03-16,21.0,88.33,piquet_jr,Nelson,Piquet Jr.,Brazilian,Nelson Piquet Jr.,Renault,French,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Clutch,,,,0,0,0,0,3.1430000000000007,-1.0,,0.0,0,,,,,,,9.0,7.4,5.6,0.1,0.7,0.7,0,0,1
13,18,13,6,2.0,4,,R,13,0.0,29,,,23.0,6.0,01:28.2,216.51,5,2008,1,1,Australian Grand Prix,2008-03-16,4.0,85.691,massa,Felipe,Massa,Brazilian,Felipe Massa,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Engine,,,,0,0,0,0,0.5040000000000049,0.0,,0.0,0,,,,,,,3.6,5.6,13.4,0.4,0.8,0.8,0,0,1
14,18,14,9,9.0,8,,R,14,0.0,25,,,21.0,11.0,01:29.5,213.3,4,2008,1,1,Australian Grand Prix,2008-03-16,8.0,86.063,coulthard,David,Coulthard,British,David Coulthard,Red Bull,Austrian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Collision,,,,0,0,0,0,0.8760000000000048,0.0,,0.0,0,,,,,,,,,,,,,0,0,0
15,18,15,7,11.0,6,,R,15,0.0,19,,,18.0,10.0,01:29.3,213.758,10,2008,1,1,Australian Grand Prix,2008-03-16,6.0,86.101,trulli,Jarno,Trulli,Italian,Jarno Trulli,Toyota,Japanese,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Electrical,,,,0,0,0,0,0.9140000000000015,0.0,,0.0,0,,,,,,,11.4,12.4,1.6,0.1,0.7,0.9,0,0,1
16,18,16,10,20.0,22,,R,16,0.0,8,,,8.0,17.0,01:32.0,207.461,9,2008,1,1,Australian Grand Prix,2008-03-16,19.0,87.85900000000001,sutil,Adrian,Sutil,German,Adrian Sutil,Force India,Indian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Hydraulics,,,,0,0,0,0,2.6720000000000113,3.0,,0.0,0,,,,,,,,,,,,,0,0,0
17,18,17,9,10.0,14,,R,17,0.0,0,,,,,,,4,2008,1,1,Australian Grand Prix,2008-03-16,15.0,86.914,webber,Mark,Webber,Australian,Mark Webber,Red Bull,Austrian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Collision,,,,0,0,0,0,1.7270000000000039,-1.0,,0.0,0,,,,,,,14.6,13.4,0.4,0.0,0.2,0.7,0,0,1
18,18,18,11,16.0,12,,R,18,0.0,0,,,,,,,4,2008,1,1,Australian Grand Prix,2008-03-16,13.0,86.259,button,Jenson,Button,British,Jenson Button,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Collision,,,,0,0,0,0,1.0720000000000027,-1.0,,0.0,0,,,,,,,,,,,,,0,0,0
19,18,19,8,19.0,21,,R,19,0.0,0,,,,,,,4,2008,1,1,Australian Grand Prix,2008-03-16,22.0,89.059,davidson,Anthony,Davidson,British,Anthony Davidson,Super Aguri,Japanese,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Collision,,,,0,0,0,0,3.872,-1.0,,0.0,0,,,,,,,14.25,20.5,0.0,0.0,0.0,0.75,0,0,1
20,18,20,5,15.0,9,,R,20,0.0,0,,,,,,,4,2008,1,1,Australian Grand Prix,2008-03-16,10.0,85.842,vettel,Sebastian,Vettel,German,Sebastian Vettel,Toro Rosso,Italian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Collision,,,,0,0,0,0,0.6550000000000011,-1.0,,0.0,0,,,,,,,16.8,17.4,0.2,0.0,0.3,0.7,0,0,1
21,18,21,10,21.0,16,,R,21,0.0,0,,,,,,,4,2008,1,1,Australian Grand Prix,2008-03-16,17.0,87.207,fisichella,Giancarlo,Fisichella,Italian,Giancarlo Fisichella,Force India,Indian,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Collision,,,,0,0,0,0,2.019999999999996,-1.0,,0.0,0,,,,,,,13.6,16.6,0.6,0.0,0.4,0.7,0,0,1
22,18,22,11,17.0,10,,D,22,0.0,58,,,44.0,8.0,01:28.7,215.141,2,2008,1,1,Australian Grand Prix,2008-03-16,11.0,86.173,barrichello,Rubens,Barrichello,Brazilian,Rubens Barrichello,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,10.0,Disqualified,,,,0,0,0,0,0.9860000000000042,-1.0,,0.0,0,,,,,,,13.4,16.8,0.0,0.0,0.1,0.9,0,0,1
27,19,1,1,22.0,9,5.0,5,5,4.0,56,46.548,5525103.0,53.0,3.0,01:35.5,209.033,1,2008,2,2,Malaysian Grand Prix,2008-03-23,4.0,94.62700000000001,hamilton,Lewis,Hamilton,British,Lewis Hamilton,McLaren,British,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,14.0,1.0,1.0,0,1,0,1,0.43900000000000716,5.0,1.0,10.0,1,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1,0,0
28,19,2,2,3.0,5,6.0,6,6,3.0,56,49.833,5528388.0,55.0,1.0,01:35.4,209.244,1,2008,2,2,Malaysian Grand Prix,2008-03-23,7.0,94.648,heidfeld,Nick,Heidfeld,German,Nick Heidfeld,BMW Sauber,German,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,11.0,0.0,3.0,0,1,0,1,0.45999999999999375,-2.0,2.0,8.0,0,2.0,5.0,8.0,1.0,1.0,1.0,2.0,5.0,8.0,1.0,1.0,1.0,1,0,0
36,19,3,3,7.0,16,14.0,14,14,0.0,55,,,55.0,13.0,01:36.8,206.182,11,2008,2,2,Malaysian Grand Prix,2008-03-23,16.0,95.67,rosberg,Nico,Rosberg,German,Nico Rosberg,Williams,British,Sepang International Circuit,Malaysia,2.76083,101.738,,+1 Lap,6.0,0.0,6.0,0,0,0,1,1.4819999999999993,0.0,3.0,6.0,0,3.0,7.0,6.0,1.0,1.0,1.0,3.0,7.0,6.0,1.0,1.0,1.0,1,0,0
30,19,4,4,5.0,7,8.0,8,8,1.0,56,+1:10.041,5548596.0,40.0,10.0,01:36.3,207.24,1,2008,2,2,Malaysian Grand Prix,2008-03-23,9.0,95.14,alonso,Fernando,Alonso,Spanish,Fernando Alonso,Renault,French,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,6.0,0.0,7.0,0,1,0,1,0.9519999999999982,-2.0,4.0,5.0,0,4.0,11.0,5.0,0.0,1.0,1.0,13.8,12.2,2.0,0.0,0.6,0.7,1,0,0
25,19,5,1,23.0,8,3.0,3,3,6.0,56,38.45,5517005.0,19.0,7.0,01:35.9,208.031,1,2008,2,2,Malaysian Grand Prix,2008-03-23,3.0,94.759,kovalainen,Heikki,Kovalainen,Finnish,Heikki Kovalainen,McLaren,British,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,10.0,0.0,4.0,1,1,0,1,0.570999999999998,5.0,5.0,4.0,0,5.0,3.0,4.0,0.0,1.0,1.0,9.8,9.2,2.2,0.0,0.4,0.6,1,0,1
39,19,6,3,8.0,22,17.0,17,17,0.0,54,,,19.0,17.0,01:37.7,204.222,12,2008,2,2,Malaysian Grand Prix,2008-03-23,18.0,96.388,nakajima,Kazuki,Nakajima,Japanese,Kazuki Nakajima,Williams,British,Sepang International Circuit,Malaysia,2.76083,101.738,,+2 Laps,3.0,0.0,9.0,0,0,0,1,2.200000000000003,4.0,6.0,3.0,0,6.0,13.0,3.0,0.0,1.0,1.0,9.4,7.8,1.4,0.0,0.7,0.9,1,0,1
44,19,7,5,14.0,18,,R,22,0.0,0,,,,,,,20,2008,2,2,Malaysian Grand Prix,2008-03-23,19.0,96.67699999999999,bourdais,SÌ©bastien,Bourdais,French,SÌ©bastien Bourdais,Toro Rosso,Italian,Sepang International Circuit,Malaysia,2.76083,101.738,,Spun off,2.0,0.0,10.0,0,0,0,0,2.48899999999999,-1.0,7.0,2.0,0,7.0,17.0,2.0,0.0,1.0,0.0,7.0,17.0,2.0,0.0,1.0,0.0,1,0,0
23,19,8,6,1.0,2,1.0,1,1,10.0,56,31:18.6,5478555.0,37.0,2.0,01:35.4,209.158,1,2008,2,2,Malaysian Grand Prix,2008-03-23,2.0,94.188,raikkonen,Kimi,RÌ_ikkÌ¦nen,Finnish,Kimi RÌ_ikkÌ¦nen,Ferrari,Italian,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,11.0,1.0,2.0,1,1,1,1,0.0,0.0,8.0,1.0,0,8.0,15.0,1.0,0.0,1.0,0.0,7.0,8.8,5.8,0.1,0.8,0.7,1,0,0
24,19,9,2,4.0,4,2.0,2,2,8.0,56,19.57,5498125.0,39.0,6.0,01:35.9,208.033,1,2008,2,2,Malaysian Grand Prix,2008-03-23,6.0,94.811,kubica,Robert,Kubica,Polish,Robert Kubica,BMW Sauber,German,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,8.0,0.0,5.0,1,1,0,1,0.6230000000000047,-2.0,,0.0,0,9.0,2.0,0.0,0.0,1.0,0.0,11.2,10.4,1.4,0.0,0.6,0.7,1,0,1
43,19,10,7,12.0,10,,R,21,0.0,1,,,,,,,4,2008,2,2,Malaysian Grand Prix,2008-03-23,10.0,95.0,glock,Timo,Glock,German,Timo Glock,Toyota,Japanese,Sepang International Circuit,Malaysia,2.76083,101.738,,Collision,,,,0,0,0,0,0.8119999999999976,0.0,,0.0,0,10.0,18.0,0.0,0.0,1.0,0.0,10.0,18.0,0.0,0.0,1.0,0.0,1,0,0
38,19,11,8,18.0,19,16.0,16,16,0.0,54,,,53.0,19.0,01:38.5,202.578,12,2008,2,2,Malaysian Grand Prix,2008-03-23,20.0,97.087,sato,Takuma,Sato,Japanese,Takuma Sato,Super Aguri,Japanese,Sepang International Circuit,Malaysia,2.76083,101.738,,+2 Laps,0.0,0.0,18.0,0,0,0,1,2.899000000000001,-1.0,,0.0,0,11.0,19.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,1,0,0
33,19,12,4,6.0,13,11.0,11,11,0.0,56,+1:32.202,5570757.0,52.0,15.0,01:37.0,205.812,1,2008,2,2,Malaysian Grand Prix,2008-03-23,13.0,95.562,piquet_jr,Nelson,Piquet Jr.,Brazilian,Nelson Piquet Jr.,Renault,French,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,0.0,0.0,14.0,0,0,0,1,1.3739999999999952,0.0,,0.0,0,12.0,20.0,0.0,0.0,0.0,0.0,10.0,9.8,4.4,0.1,0.7,0.7,1,0,1
41,19,13,6,2.0,1,,R,19,0.0,30,,,15.0,5.0,01:35.9,208.048,20,2008,2,2,Malaysian Grand Prix,2008-03-23,1.0,94.412,massa,Felipe,Massa,Brazilian,Felipe Massa,Ferrari,Italian,Sepang International Circuit,Malaysia,2.76083,101.738,,Spun off,,,,0,0,0,0,0.22400000000000375,0.0,,0.0,0,13.0,4.0,0.0,0.0,0.0,0.0,5.2,4.4,11.4,0.3,0.7,0.7,1,0,1
31,19,14,9,9.0,12,9.0,9,9,0.0,56,+1:16.220,5554775.0,55.0,9.0,01:36.2,207.417,1,2008,2,2,Malaysian Grand Prix,2008-03-23,12.0,95.408,coulthard,David,Coulthard,British,David Coulthard,Red Bull,Austrian,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,0.0,0.0,12.0,0,1,0,1,1.2199999999999989,0.0,,0.0,0,14.0,8.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,1,0,0
26,19,15,7,11.0,3,4.0,4,4,5.0,56,45.832,5524387.0,53.0,8.0,01:36.1,207.715,1,2008,2,2,Malaysian Grand Prix,2008-03-23,5.0,94.96000000000001,trulli,Jarno,Trulli,Italian,Jarno Trulli,Toyota,Japanese,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,5.0,0.0,8.0,0,1,0,1,0.7720000000000056,-2.0,,0.0,0,15.0,6.0,0.0,0.0,0.0,0.0,11.6,11.0,1.6,0.1,0.6,0.8,1,0,1
42,19,16,10,20.0,20,,R,20,0.0,5,,,3.0,20.0,01:40.3,198.891,9,2008,2,2,Malaysian Grand Prix,2008-03-23,21.0,97.101,sutil,Adrian,Sutil,German,Adrian Sutil,Force India,Indian,Sepang International Circuit,Malaysia,2.76083,101.738,,Hydraulics,,,,0,0,0,0,2.9129999999999967,-1.0,,0.0,0,16.0,22.0,0.0,0.0,0.0,0.0,16.0,22.0,0.0,0.0,0.0,0.0,1,0,0
29,19,17,9,10.0,6,7.0,7,7,2.0,56,+1:08.130,5546685.0,53.0,12.0,01:36.7,206.366,1,2008,2,2,Malaysian Grand Prix,2008-03-23,8.0,94.967,webber,Mark,Webber,Australian,Mark Webber,Red Bull,Austrian,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,2.0,0.0,11.0,0,1,0,1,0.7789999999999964,-2.0,,0.0,0,17.0,14.0,0.0,0.0,0.0,0.0,14.8,13.6,0.4,0.0,0.2,0.7,1,0,1
32,19,18,11,16.0,11,10.0,10,10,0.0,56,+1:26.214,5564769.0,56.0,4.0,01:35.7,208.481,1,2008,2,2,Malaysian Grand Prix,2008-03-23,11.0,95.208,button,Jenson,Button,British,Jenson Button,Honda,Japanese,Sepang International Circuit,Malaysia,2.76083,101.738,,Finished,0.0,0.0,13.0,0,1,0,1,1.019999999999996,0.0,,0.0,0,18.0,12.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,1,0,0
37,19,19,8,19.0,21,15.0,15,15,0.0,55,,,55.0,18.0,01:38.2,203.265,11,2008,2,2,Malaysian Grand Prix,2008-03-23,22.0,97.481,davidson,Anthony,Davidson,British,Anthony Davidson,Super Aguri,Japanese,Sepang International Circuit,Malaysia,2.76083,101.738,,+1 Lap,0.0,0.0,17.0,0,0,0,1,3.292999999999992,-1.0,,0.0,0,19.0,21.0,0.0,0.0,0.0,0.0,15.2,20.6,0.0,0.0,0.0,0.6,1,0,1
40,19,20,5,15.0,15,,R,18,0.0,39,,,37.0,14.0,01:36.9,205.995,5,2008,2,2,Malaysian Grand Prix,2008-03-23,15.0,95.648,vettel,Sebastian,Vettel,German,Sebastian Vettel,Toro Rosso,Italian,Sepang International Circuit,Malaysia,2.76083,101.738,,Engine,,,,0,0,0,0,1.4599999999999937,0.0,,0.0,0,20.0,9.0,0.0,0.0,0.0,0.0,17.0,15.8,0.2,0.0,0.3,0.6,1,0,1
34,19,21,10,21.0,17,12.0,12,12,0.0,55,,,52.0,16.0,01:37.0,205.8,11,2008,2,2,Malaysian Grand Prix,2008-03-23,17.0,96.24000000000001,fisichella,Giancarlo,Fisichella,Italian,Giancarlo Fisichella,Force India,Indian,Sepang International Circuit,Malaysia,2.76083,101.738,,+1 Lap,0.0,0.0,15.0,0,0,0,1,2.0520000000000067,0.0,,0.0,0,21.0,16.0,0.0,0.0,0.0,0.0,15.0,15.4,0.6,0.0,0.4,0.7,1,0,1
35,19,22,11,17.0,14,13.0,13,13,0.0,55,,,55.0,11.0,01:36.7,206.372,11,2008,2,2,Malaysian Grand Prix,2008-03-23,14.0,95.622,barrichello,Rubens,Barrichello,Brazilian,Rubens Barrichello,Honda,Japanese,Sepang International Circuit,Malaysia,2.76083,101.738,,+1 Lap,0.0,0.0,16.0,0,0,0,1,1.4339999999999975,0.0,,0.0,0,22.0,10.0,0.0,0.0,0.0,0.0,14.8,15.0,0.0,0.0,0.1,0.9,1,0,1
57,20,1,1,22.0,3,13.0,13,13,0.0,56,,,25.0,19.0,01:35.5,203.969,11,2008,3,3,Bahrain Grand Prix,2008-04-06,3.0,91.922,hamilton,Lewis,Hamilton,British,Lewis Hamilton,McLaren,British,Bahrain International Circuit,Bahrain,26.0325,50.5106,,+1 Lap,14.0,1.0,3.0,0,0,0,1,0.7339999999999947,0.0,1.0,14.0,1,3.0,5.0,7.0,0.5,1.0,1.0,3.0,5.0,7.0,0.5,1.0,1.0,2,0,0
48,20,2,2,3.0,6,4.0,4,4,5.0,57,8.409,5475379.0,48.0,2.0,01:33.6,208.231,1,2008,3,3,Bahrain Grand Prix,2008-04-06,6.0,91.90899999999999,heidfeld,Nick,Heidfeld,German,Nick Heidfeld,BMW Sauber,German,Bahrain International Circuit,Bahrain,26.0325,50.5106,,Finished,16.0,0.0,2.0,0,1,0,1,0.7209999999999894,0.0,3.0,11.0,0,4.0,5.0,5.5,0.5,1.0,1.0,4.0,5.0,5.5,0.5,1.0,1.0,2,0,0
52,20,3,3,7.0,8,8.0,8,8,1.0,57,55.889,5522859.0,57.0,6.0,01:34.1,207.109,1,2008,3,3,Bahrain Grand Prix,2008-04-06,8.0,92.185,rosberg,Nico,Rosberg,German,Nico Rosberg,Williams,British,Bahrain International Circuit,Bahrain,26.0325,50.5106,,Finished,7.0,0.0,8.0,0,1,0,1,0.9969999999999999,0.0,6.0,6.0,0,8.5,11.5,3.0,0.5,0.5,1.0,8.5,11.5,3.0,0.5,0.5,1.0,2,0,0
54,20,4,4,5.0,10,10.0,10,10,0.0,57,+1:17.181,5544151.0,35.0,13.0,01:35.2,204.668,1,2008,3,3,Bahrain Grand Prix,2008-04-06,10.0,92.345,alonso,Fernando,Alonso,Spanish,Fernando Alonso,Renault,French,Bahrain International Circuit,Bahrain,26.0325,50.5106,,Finished,6.0,0.0,9.0,0,1,0,1,1.1569999999999965,0.0,7.0,6.0,0,6.0,9.0,3.0,0.0,1.0,1.0,13.4,11.8,2.0,0.0,0.7,0.7,2,0,0
49,20,5,1,23.0,5,5.0,5,5,4.0,57,26.789,5493759.0,49.0,1.0,01:33.2,209.062,1,2008,3,3,Bahrain Grand Prix,2008-04-06,5.0,91.718,kovalainen,Heikki,Kovalainen,Finnish,Heikki Kovalainen,McLaren,British,Bahrain International Circuit,Bahrain,26.0325,50.5106,,Finished,14.0,0.0,5.0,0,1,0,1,0.5300000000000011,0.0,4.0,10.0,0,4.0,5.5,5.0,0.5,1.0,1.0,7.0,9.2,3.4,0.1,0.5,0.7,2,0,1
58,20,6,3,8.0,16,14.0,14,14,0.0,56,,,30.0,17.0,01:35.4,204.155,11,2008,3,3,Bahrain Grand Prix,2008-04-06,16.0,92.943,nakajima,Kazuki,Nakajima,Japanese,Kazuki Nakajima,Williams,British,Bahrain International Circuit,Bahrain,26.0325,50.5106,,+1 Lap,3.0,0.0,11.0,0,0,0,1,1.7549999999999955,0.0,9.0,3.0,0,11.5,17.5,1.5,0.0,0.5,1.0,10.6,11.6,1.4,0.0,0.6,0.9,2,0,1
59,20,7,5,14.0,15,15.0,15,15,0.0,56,,,33.0,15.0,01:35.3,204.369,11,2008,3,3,Bahrain Grand Prix,2008-04-06,15.0,92.91499999999999,bourdais,SÌ©bastien,Bourdais,French,SÌ©bastien Bourdais,Toro Rosso,Italian,Bahrain International Circuit,Bahrain,26.0325,50.5106,,+1 Lap,2.0,0.0,12.0,0,0,0,1,1.7269999999999897,0.0,10.0,2.0,0,14.5,17.5,1.0,0.0,0.5,0.0,14.5,17.5,1.0,0.0,0.5,0.0,2,0,0
46,20,8,6,1.0,4,2.0,2,2,8.0,57,3.339,5470309.0,35.0,4.0,01:33.7,207.911,1,2008,3,3,Bahrain Grand Prix,2008-04-06,4.0,91.93299999999999,raikkonen,Kimi,RÌ_ikkÌ¦nen,Finnish,Kimi RÌ_ikkÌ¦nen,Ferrari,Italian,Bahrain International Circuit,Bahrain,26.0325,50.5106,,Finished,19.0,1.0,1.0,1,1,0,1,0.7449999999999903,0.0,2.0,11.0,1,4.5,8.5,5.5,0.5,1.0,0.5,6.0,7.8,6.2,0.1,0.8,0.7,2,0,0
47,20,9,2,4.0,1,3.0,3,3,6.0,57,4.998,5471968.0,55.0,5.0,01:33.8,207.765,1,2008,3,3,Bahrain Grand Prix,2008-04-06,1.0,91.745,kubica,Robert,Kubica,Polish,Robert Kubica,BMW Sauber,German,Bahrain International Circuit,Bahrain,26.0325,50.5106,,Finished,14.0,0.0,4.0,1,1,0,1,0.5570000000000022,0.0,5.0,8.0,0,5.5,3.0,4.0,0.5,1.0,0.5,7.8,7.2,3.0,0.1,0.6,0.7,2,0,1
53,20,10,7,12.0,13,9.0,9,9,0.0,57,+1:09.500,5536470.0,56.0,9.0,01:34.8,205.503,1,2008,3,3,Bahrain Grand Prix,2008-04-06,13.0,92.52799999999999,glock,Timo,Glock,German,Timo Glock,Toyota,Japanese,Bahrain International Circuit,Bahrain,26.0325,50.5106,,Finished,0.0,0.0,14.0,0,1,0,1,1.3399999999999892,0.0,,0.0,0,15.5,14.0,0.0,0.0,0.5,0.0,15.5,14.0,0.0,0.0,0.5,0.0,2,0,0
