feature,importance
numeric__qualifying_position,0.12053989994210393
numeric__grid,0.0989478828479943
numeric__qualifying_delta_to_pole,0.06926381417368369
numeric__driver_prev_standing_position,0.05743614551178305
numeric__driver_podium_rate_last_10,0.05557145903238017
numeric__constructor_avg_grid_last_5,0.05019030370710685
numeric__constructor_avg_points_last_5,0.04850145453222094
numeric__constructor_podium_rate_last_10,0.04472688254220057
numeric__driver_avg_grid_last_5,0.04408373480733016
numeric__driver_avg_points_last_5,0.04170112620031914
numeric__constructor_avg_finish_last_5,0.039321598088204755
numeric__driver_avg_finish_last_5,0.03811532640141295
numeric__constructor_top10_rate_last_10,0.02995398906479944
numeric__driver_top10_rate_last_10,0.02428481986647845
numeric__driver_prev_season_wins,0.023332860375653956
numeric__driver_prev_season_points,0.021396225496332147
numeric__driver_constructor_pair_starts,0.015664472981883875
numeric__best_qualifying_seconds,0.014002804195938419
numeric__lng,0.01083996785625317
numeric__round,0.010769974254217598
numeric__lat,0.010219476653901802
numeric__constructor_circuit_starts,0.01015395005631696
numeric__driver_circuit_starts,0.008725043104920813
numeric__driver_finish_rate_last_10,0.008024265651633132
numeric__constructor_finish_rate_last_10,0.007990813547668932
numeric__grid_minus_qualifying,0.005283159381052965
categorical__constructor_name_Red Bull,0.004352395864482679
categorical__constructor_nationality_Austrian,0.003985161021015766
categorical__constructor_name_Mercedes,0.002834308200961504
categorical__constructor_nationality_German,0.00283258213510789
categorical__constructor_name_Ferrari,0.0028321547073424367
categorical__driver_name_Lewis Hamilton,0.0026397891758070473
categorical__driver_name_Sebastian Vettel,0.002577964667952232
categorical__constructor_nationality_British,0.002220569520127665
categorical__constructor_name_Williams,0.0020463337414640013
categorical__driver_nationality_German,0.001888481318797709
categorical__constructor_name_Force India,0.0018579588379201441
categorical__driver_nationality_Finnish,0.0018259914764088103
categorical__driver_nationality_British,0.0016036530831196679
categorical__constructor_nationality_Italian,0.0015902067572685964
categorical__driver_name_Kimi RÌ_ikkÌ¦nen,0.0015536765186442074
categorical__constructor_nationality_Indian,0.001548406560316729
categorical__constructor_name_Lotus F1,0.0014858929773622115
categorical__constructor_name_Toro Rosso,0.0014232922425181432
categorical__driver_name_Nico Rosberg,0.0013803123630994059
categorical__driver_nationality_Brazilian,0.0013683191346435337
categorical__driver_name_Sergio PÌ©rez,0.001276797080816337
categorical__constructor_name_McLaren,0.001205309114516255
categorical__driver_name_Fernando Alonso,0.0011590175405794148
categorical__driver_name_Felipe Massa,0.0010560635752217171
categorical__driver_name_Mark Webber,0.0010162630797507046
categorical__driver_name_Robert Kubica,0.0010029934916074557
categorical__constructor_nationality_French,0.0009855008588601207
categorical__circuit_name_Albert Park Grand Prix Circuit,0.0009395338486469306
categorical__driver_nationality_Mexican,0.0009305312640599921
categorical__driver_nationality_Australian,0.0009238010896325087
categorical__circuit_country_Australia,0.000919589617601737
categorical__driver_nationality_Polish,0.0008953940047739972
categorical__driver_nationality_Spanish,0.0008816466911218373
categorical__constructor_name_BMW Sauber,0.0008768705019114236
categorical__driver_name_Valtteri Bottas,0.0008580661255972124
categorical__constructor_name_Sauber,0.0008443109729374098
categorical__circuit_name_Marina Bay Street Circuit,0.0008320397942079492
categorical__constructor_name_Renault,0.0007892292176929338
categorical__circuit_name_Circuit Gilles Villeneuve,0.0007874369358666344
categorical__circuit_country_Singapore,0.0007840909281730741
categorical__circuit_country_Bahrain,0.0007802912359125149
categorical__circuit_country_Canada,0.0007681630519438098
categorical__circuit_name_Bahrain International Circuit,0.000757714205776712
categorical__constructor_nationality_Japanese,0.0007441058251841551
categorical__driver_name_Michael Schumacher,0.0007087010476133764
categorical__driver_name_Heikki Kovalainen,0.0006982772952005917
categorical__constructor_name_Toyota,0.0006772172006512416
categorical__circuit_country_Malaysia,0.000675862516952166
categorical__circuit_name_Suzuka Circuit,0.0006680044516896988
categorical__circuit_country_Spain,0.0006648278099215272
categorical__circuit_name_Sepang International Circuit,0.0006480508971791673
categorical__circuit_country_Italy,0.0005857118975762198
categorical__driver_name_Nick Heidfeld,0.0005837513327035291
categorical__circuit_name_Autodromo Nazionale di Monza,0.0005764415090869885
categorical__circuit_country_Japan,0.0005677667842865381
categorical__driver_name_Nico HÌ_lkenberg,0.0005673345296799591
categorical__circuit_name_Hungaroring,0.0005562455449234499
categorical__driver_name_Romain Grosjean,0.0005502237579875294
categorical__circuit_country_Belgium,0.0005489053440095371
categorical__circuit_name_Circuit de Spa-Francorchamps,0.0005435936077468644
categorical__driver_name_Jenson Button,0.0005364834237424923
categorical__circuit_country_Hungary,0.0005102664015853144
categorical__circuit_name_Silverstone Circuit,0.0004976147707524169
categorical__driver_nationality_French,0.0004947474601239627
categorical__circuit_country_Monaco,0.00048293542173062377
categorical__circuit_name_AutÌ_dromo JosÌ© Carlos Pace,0.0004781988893904932
categorical__circuit_country_UK,0.00047805584352253634
categorical__circuit_country_Germany,0.0004706896349131461
categorical__constructor_nationality_Swiss,0.0004698486844739269
categorical__constructor_nationality_Malaysian,0.000464387167941777
categorical__circuit_name_Circuit de Barcelona-Catalunya,0.0004397333784975369
categorical__circuit_name_Hockenheimring,0.0004303564665188357
categorical__constructor_name_Brawn,0.00042227741137483446
categorical__circuit_name_Shanghai International Circuit,0.00040404620277559165
categorical__circuit_country_Brazil,0.0003941044894031402
categorical__driver_nationality_Russian,0.0003589162851146614
categorical__circuit_country_China,0.0003557186172109671
categorical__driver_name_Rubens Barrichello,0.0003246594144221502
categorical__driver_name_Daniel Ricciardo,0.00032225225307187116
categorical__driver_name_David Coulthard,0.0003155028036219046
categorical__driver_name_Nelson Piquet Jr.,0.0003006087166488091
categorical__driver_nationality_Italian,0.0003004728306411172
categorical__driver_name_Jarno Trulli,0.00029137196115193984
categorical__circuit_name_Valencia Street Circuit,0.0002902856341353417
categorical__circuit_name_Circuit de Monaco,0.00028386769921766764
categorical__circuit_country_Korea,0.00025603315420571663
categorical__circuit_name_Circuit of the Americas,0.00024090798505393415
categorical__constructor_name_Honda,0.00023780211097191895
categorical__circuit_country_Russia,0.0002273657798442913
categorical__circuit_name_Yas Marina Circuit,0.00022669488085572654
categorical__circuit_name_Sochi Autodrom,0.00022275390308969457
